사업장명,폐업일자,법인구분명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,구분명,소재지전화번호
(주)키스템프그룹,,법인,198591.48750042,451623.0201872,2026-04-03 03:03:03,U,20,영업중,2026-04-02 10:48:59,2019-05-03,,서울특별시 중구 을지로2가 204번지 삼화타워,2019301016514500010,3010000,"서울특별시 중구 을지로5길 16, 삼화타워 4층 (을지로2가)",04539,01,영업/정상,유료,02-6719-6396
(주)터닝포인트에이치알,,법인,205074.832316057,445067.867476318,2026-04-03 03:03:03,U,20,영업중,2026-04-02 17:03:55,2017-04-19,,서울특별시 강남구 삼성동 158-16 SEMA Tower,2017322016314500024,3220000,"서울특별시 강남구 테헤란로 509, SEMA Tower 10층 (삼성동)",06169,01,영업/정상,유료,
(주)스탠튼체이스코리아,,법인,205170.959716696,445264.936337181,2026-04-03 03:03:03,U,20,영업중,2026-04-02 16:51:32,1997-12-15,,서울특별시 강남구 삼성1동 159번지 6호 공항터미널 514호,1997322008111500014,3220000,"서울특별시 강남구 테헤란로87길 22, 514호 (삼성동,공항터미널)",,01,영업/정상,유료,02-551-0203
(주)굿피플커리어,2026-04-02,법인,204518.8799802,442703.584823804,2026-04-03 03:03:03,U,40,폐업,2026-04-02 15:54:25,2020-04-03,,서울특별시 강남구 도곡동 467번지 24호 우성캐릭터199 2002호,2020322023714500016,3220000,"서울특별시 강남구 언주로 118, 20층 2002호 (도곡동, 우성캐릭터199)",06295,03,폐업,유료,
한국서치 주식회사,,법인,202774.809896051,444038.448180267,2026-04-03 03:03:03,U,20,영업중,2026-04-02 15:16:13,2023-10-14,,서울특별시 강남구 역삼동 823-49 에이동 5층,2023322025014500051,3220000,"서울특별시 강남구 테헤란로10길 8, 에이동 5층 (역삼동)",06234,01,영업/정상,유료,02-6952-2928
(주)벤처피플,,법인,205259.527550336,445361.937086207,2026-04-03 03:03:03,U,20,영업중,2026-04-02 16:39:40,2001-01-10,,서울특별시 강남구 삼성1동 159번지 9호 도심공항타워23층,2001322008111500005,3220000,"서울특별시 강남구 테헤란로87길 36, 23층 (삼성동)",,01,영업/정상,유료,02-2016-6600
코너스톤 앤 포티스,,개인,204772.879500937,445436.098804682,2026-04-03 03:03:03,U,20,영업중,2026-04-02 09:20:21,2021-09-08,,서울특별시 강남구 삼성동 150-30,2021322025014500026,3220000,"서울특별시 강남구 삼성로 554, 예성빌딩 601호 (삼성동)",06165,01,영업/정상,유료,02-597-1045
주식회사 리드코리아,2026-04-02,법인,203702.477207367,445271.241490281,2026-04-03 03:03:03,U,50,타시군구이관,2026-04-02 11:04:42,2024-07-18,,서울특별시 강남구 역삼동 682 남전빌딩,2024322025014500034,3220000,"서울특별시 강남구 봉은사로 326, 남전빌딩 873호 (역삼동)",06143,05,제외/삭제/전출,유료,
(주)크레버스,,법인,198492.067170692,443896.378107249,2026-04-03 03:03:03,U,20,영업중,2026-04-02 09:39:21,2007-04-10,,서울특별시 서초구 방배동 753-2 CMS M,2024321019514500014,3210000,"서울특별시 서초구 동작대로 234, CMS M 8층 (방배동)",06551,01,영업/정상,유료,
맨쉬컨설팅주식회사,,법인,202924.728431526,444079.368714251,2026-04-03 03:03:03,U,20,영업중,2026-04-02 15:46:33,2015-07-15,,서울특별시 강남구 역삼동 735-29,2015322016314500037,3220000,"서울특별시 강남구 테헤란로16길 9, 4~5층 (역삼동)",06235,01,영업/정상,유료,02-6952-9944
약손 간병협회,,개인,169653.061072083,442555.053277966,2026-04-03 03:03:03,U,20,영업중,2026-04-02 09:34:22,2026-01-05,,인천광역시 동구 송림동 295 인천산업용품유통단지,2026350017814500001,3500000,"인천광역시 동구 방축로 105, 인천산업용품유통단지 23동 3층 317호 (송림동)",22530,01,영업/정상,유료,
미래건설인력,2026-04-02,개인,176559.861235792,433113.310207242,2026-04-03 03:03:03,U,50,타시군구이관,2026-04-02 10:04:25,2025-07-23,,인천광역시 남동구 논현동 678-1 조은프라자,2025353019814500016,3530000,"인천광역시 남동구 소래역로 28, 조은프라자 405-2호 (논현동)",21673,05,제외/삭제/전출,유료,
