건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,품목명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,주식회사 브랜드건축가,,198418.741655644,451237.168596152,,,2026-05-22 22:37:31,I,13,영업중,,,,,2026-05-21 09:37:37,,2026-05-21,,서울특별시 중구 명동*가 **-* Noon Square,CDFF3241092026000012,3010000,,"서울특별시 중구 명동길 **, Noon Square *층 에스*****호 (명동*가)",04536,01,영업/정상,,,,,,
,주식회사 파라다이스이앤에이,,200349.704652903,451312.763287331,,,2026-05-22 22:37:31,I,13,영업중,,,,,2026-05-21 10:36:40,,2026-05-21,,서울특별시 중구 쌍림동 **-*,CDFF3241092026000013,3010000,,"서울특별시 중구 퇴계로 ***, **층 (쌍림동)",04560,01,영업/정상,,,,02-6357-2001,,
,품 엔터테인먼트(POOM Entertainment),,186118.216195189,449030.418549558,,,2026-05-22 22:07:30,I,13,영업중,,,,,2026-05-21 13:04:11,,2026-05-21,,서울특별시 강서구 화곡동 **-**,CDFF3241092026000014,3150000,,"서울특별시 강서구 초록마을로*길 **, 지하 (화곡동)",07721,01,영업/정상,,,,,,
,딜리젼스리 주식회사,,203478.848090516,446036.594200092,,,2026-05-22 22:07:31,I,13,영업중,,,,,2026-05-21 15:01:21,,2026-05-21,,서울특별시 강남구 논현동 ***-* 강남파라곤,CDFF3241092026000093,3220000,,"서울특별시 강남구 학동로 ***, 비동 ****호 (논현동, 강남파라곤)",06099,01,영업/정상,,,,,,
,2YE 엔터테인먼트,,202810.359435531,444859.620372019,,,2026-05-22 22:07:31,I,13,영업중,,,,,2026-05-21 16:54:10,,2026-05-21,,서울특별시 강남구 역삼동 ***-*,CDFF3241092026000094,3220000,,"서울특별시 강남구 봉은사로**길 **, *층 ***호 (역삼동)",06125,01,영업/정상,,,,,,
,주식회사 지안캐슬,,204115.145,446730.525,,,2026-05-22 22:07:31,I,13,영업중,,,,,2026-05-21 18:18:17,,2025-01-03,,서울특별시 강남구 청담동 *-**,CDFF3241092026000095,3220000,,"서울특별시 강남구 삼성로***길 *-*, ***호 (청담동)",06063,01,영업/정상,,,,,,
,주식회사 아티스트퀄리티플래닛,,168120.267502975,447863.887132657,,,2026-05-22 22:37:31,I,13,영업중,,,,,2026-05-21 09:25:54,,2026-05-21,,인천광역시 서구 청라동 ***-** ***동 ****호,CDFF3241092026000004,3560000,,"인천광역시 서구 청라루비로 **, ***동 ****호 (청라동)",22760,01,영업/정상,,,,,,
,지주엔터테인먼트(주),,,,,,2026-05-22 21:07:30,I,13,영업중,,,,,2026-05-21 17:19:51,,2026-05-21,,경기도 고양시 덕양구 덕은동 ***,CDFF3241092026000034,3940000,,"경기도 고양시 덕양구 청초로 **, 에이동 ***호 (덕은동)",10543,01,영업/정상,,,,,,
,주식회사 차누리엔터테인먼트,,202638.948768564,443109.509930091,,,2026-05-22 03:03:03,U,13,영업중,,,,,2026-05-21 10:50:54,,2018-05-28,,서울특별시 서초구 서초동 ****-** 현대렉시온,CDFF3241092026000023,3210000,,"서울특별시 서초구 강남대로 ***, 현대렉시온 ****호 (서초동)",06628,01,영업/정상,,,,,,
,소풍 엔터테인먼트,,176304.191636552,456514.414679479,,,2026-05-22 03:03:03,U,13,영업중,,,,,2026-05-21 17:26:11,,2020-02-03,,경기도 김포시 풍무동 ****,CDFF3241092026000007,4090000,,"경기도 김포시 풍무*로 **, ****호 (풍무동)",10113,01,영업/정상,,,,,,
